,screenId,icon_path,bounds,reference_captions,icon_context,generated_caption
10,48237,48237_1.jpg,"[28, 357, 140, 469]",direction compass|north and south|toggle compass,"{""app activity name"": ""com.stt.android.ui.activities.WorkoutActivity"", ""UI element info"": {""class_name"": ""AppCompatImageView"", ""resource_id"": ""compassIcon""}, ""parent node"": [{""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""mapContainer"", ""class"": ""FrameLayout""}, {""resource_id"": ""gpsAccuracyIcon"", ""class"": ""AppCompatImageView""}, {""resource_id"": ""maximizeBt"", ""class"": ""au""}, {""resource_id"": ""maximizeBt"", ""class"": ""au""}, {""resource_id"": ""loadingSpinner"", ""class"": ""ProgressBar""}, {""resource_id"": ""noWorkoutData"", ""text"": ""No workout data"", ""class"": ""bn""}, {""resource_id"": ""credit"", ""class"": ""bn""}]}",go to location
11,71039,71039_1.jpg,"[7, 105, 133, 231]",open main menu|open menu,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnMenu""}, ""parent node"": [{""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""menuEditText"", ""class"": ""EditText""}, {""class"": ""LinearLayout""}, {""resource_id"": ""progressLayout"", ""class"": ""LinearLayout""}, {""resource_id"": ""btnQuickAction"", ""class"": ""ImageButton""}, {""resource_id"": ""btnRightMenu"", ""class"": ""ImageButton""}, {""resource_id"": ""titleWindmeter"", ""text"": ""WindAlert"", ""class"": ""TypefacedTextView""}]}",open menu
12,71039,71039_2.jpg,"[576, 105, 702, 231]",go to refresh|refresh the map image,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnRefres""}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSettings"", ""class"": ""ImageButton""}]}",refresh page
13,71039,71039_3.jpg,"[720, 105, 846, 231]",go do serch|opens the search function,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnSearch"", ""OCR detected text"": [""0""]}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSettings"", ""class"": ""ImageButton""}]}",search
14,71039,71039_4.jpg,"[864, 105, 990, 231]",center in my location|locate your location|use compass for direction,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnLocation""}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSettings"", ""class"": ""ImageButton""}]}",go to current location
15,71039,71039_5.jpg,"[1008, 105, 1134, 231]",add to favorites|bookmark this,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnStar""}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSettings"", ""class"": ""ImageButton""}]}",favorite button
16,71039,71039_6.jpg,"[1296, 105, 1422, 231]",go to setting option|open settings|options or setting,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnSettings""}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}]}",go to settings
17,49105,49105_1.jpg,"[578, 1500, 690, 1612]",edit the plant name|write in,"{""app activity name"": ""org.plantnet.MainActivity"", ""UI element info"": {""class_name"": ""AppCompatImageButton"", ""resource_id"": ""btn_edit_name""}, ""parent node"": [{""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""last_contributions_item_name"", ""text"": ""Rubus alceifolius Poir."", ""class"": ""AppCompatTextView""}, {""resource_id"": ""last_contributions_item_name"", ""text"": ""Rubus alceifolius Poir."", ""class"": ""AppCompatTextView""}]}",edit name
18,31019,31019_1.jpg,"[1288, 379, 1408, 499]",click setting|more options for user|toggle to more options tab to more options,"{""app activity name"": ""com.szyk.myheart.MyHeartActivity"", ""UI element info"": {""class_name"": ""AppCompatImageView"", ""resource_id"": ""manage_users_list_item_more""}, ""parent node"": [{""resource_id"": ""action_list_item_layout""}, {""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""manage_users_list_item_RadioButton"", ""text"": ""Default user"", ""class"": ""AppCompatRadioButton""}, {""resource_id"": ""manage_users_list_item_RadioButton"", ""text"": ""Default user"", ""class"": ""AppCompatRadioButton""}, {""resource_id"": ""manage_users_list_item_age"", ""text"": ""Age:27"", ""class"": ""AppCompatTextView""}, {""resource_id"": ""manage_users_list_item_diabetic"", ""text"": ""Diabetes: No"", ""class"": ""AppCompatTextView""}]}",more information
19,25623,25623_1.jpg,"[18, 307, 123, 412]",profile view option|sign in|sign in to your account,"{""app activity name"": ""com.avantar.yp.ui.main.MainActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""main_tabbed_iv_user_account_photo""}, ""parent node"": [{""resource_id"": ""main_tabbed_rl_user_account""}, {""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""main_tabbed_tv_user_account_name"", ""text"": ""Sign In"", ""class"": ""AppCompatTextView""}]}",sign in
20,25623,25623_2.jpg,"[14, 1040, 364, 1565]",movie poster|view information on movie named arrival|view movie details,"{""app activity name"": ""com.avantar.yp.ui.main.MainActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""layout_image_poster"", ""OCR detected text"": [""Rr"", ""R""]}, ""parent node"": [{""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""button_trailer"", ""class"": ""ImageView""}]}",view movie poster
21,25623,25623_3.jpg,"[14, 1689, 364, 2214]",information about a movie|the cover of a dvd/blu ray movie flashing|view movie trailer,"{""app activity name"": ""com.avantar.yp.ui.main.MainActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""layout_image_poster"", ""OCR detected text"": [""Htasni"", ""3155""]}, ""parent node"": [{""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""button_trailer"", ""class"": ""ImageView""}]}",play trailer
22,25623,25623_4.jpg,"[1204, 909, 1285, 986]",add to favorites|click to heart|favourite location,"{""app activity name"": ""com.avantar.yp.ui.main.MainActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""image_star""}, ""parent node"": [{""resource_id"": ""LinearLayout01""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""image_map"", ""class"": ""ImageView""}]}",add to favorites
23,25623,25623_5.jpg,"[1313, 909, 1401, 986]",directions by car|get directions,"{""app activity name"": ""com.avantar.yp.ui.main.MainActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""image_map""}, ""parent node"": [{""resource_id"": ""LinearLayout01""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""image_star"", ""class"": ""ImageView""}, {""resource_id"": ""image_star"", ""class"": ""ImageView""}]}",show driving directions
24,3603,3603_1.jpg,"[1016, 354, 1389, 548]",go to next|next|search,"{""app activity name"": ""com.w2gi.storelocator.Find_Location"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""search_btn""}, ""parent node"": [{""class"": ""TableRow""}], ""sibling nodes"": [{""resource_id"": ""search_txt"", ""class"": ""EditText""}, {""resource_id"": ""search_txt"", ""class"": ""EditText""}]}",search
25,3603,3603_2.jpg,"[484, 601, 709, 740]",go to current location|zoom in or zoom out the map,"{""app activity name"": ""com.w2gi.storelocator.Find_Location"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""location""}, ""parent node"": [{""class"": ""TableLayout""}], ""sibling nodes"": []}",find location
26,3603,3603_3.jpg,"[1024, 601, 1249, 740]",get the list|open list|show list,"{""app activity name"": ""com.w2gi.storelocator.Find_Location"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""list"", ""OCR detected text"": [""List""]}, ""parent node"": [{""class"": ""TableLayout""}], ""sibling nodes"": [{""resource_id"": ""map"", ""class"": ""ImageView""}, {""resource_id"": ""map"", ""class"": ""ImageView""}]}",list view
27,3721,3721_1.jpg,"[1216, 1166, 1300, 1250]",delete text|reset password input,"{""app activity name"": ""kik.android.chat.fragment.SimpleFragmentWrapperActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""validateable_text_view_clear_button""}, ""parent node"": [{""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""validateable_text_view"", ""text"": ""Crowd3116"", ""class"": ""RobotoEditText""}, {""resource_id"": ""validateable_text_view"", ""text"": ""Crowd3116"", ""class"": ""RobotoEditText""}, {""resource_id"": ""validateable_text_view_right_image"", ""class"": ""ImageView""}]}",clear search
28,3721,3721_2.jpg,"[1300, 1166, 1384, 1250]",done|password correct,"{""app activity name"": ""kik.android.chat.fragment.SimpleFragmentWrapperActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""validateable_text_view_right_image""}, ""parent node"": [{""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""validateable_text_view"", ""text"": ""Crowd3116"", ""class"": ""RobotoEditText""}, {""resource_id"": ""validateable_text_view_clear_button"", ""class"": ""ImageView""}, {""resource_id"": ""validateable_text_view_clear_button"", ""class"": ""ImageView""}]}",check username
29,7517,7517_1.jpg,"[1079, 782, 1247, 866]",unlock special feature|upgrade profile to pro option|upgrade to pro,"{""app activity name"": ""com.hltcorp.platform.core.MainActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btn_pro"", ""OCR detected text"": [""PRO""]}, ""parent node"": [{""resource_id"": ""right""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""class"": ""ImageView""}]}",go to pro
30,2988,2988_1.jpg,"[1226, 317, 1408, 499]",close the text field|delete in the search option,"{""app activity name"": ""tursky.jan.nauc.sa.html5.MenuFragments"", ""UI element info"": {""class_name"": ""AppCompatImageView"", ""resource_id"": ""imgDelete""}, ""parent node"": [{""resource_id"": ""layoutFilter""}, {""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""imgSearch"", ""class"": ""AppCompatImageView""}, {""resource_id"": ""searchFilter"", ""text"": ""<a>"", ""class"": ""AppCompatEditText""}, {""resource_id"": ""searchFilter"", ""text"": ""<a>"", ""class"": ""AppCompatEditText""}]}",clear search
31,37281,37281_1.jpg,"[0, 84, 196, 280]",click to see the location options|menu|open menu,"{""app activity name"": ""com.wdtinc.android.whitelabel.WHTMainActivity"", ""UI element info"": {""class_name"": ""ImageButton""}, ""parent node"": [{""resource_id"": ""toolbar""}, {""class"": ""WHTHeaderBar""}], ""sibling nodes"": [{""class"": ""LinearLayout""}, {""text"": ""Current Location"", ""class"": ""TextView""}, {""text"": ""Current Location"", ""class"": ""TextView""}, {""class"": ""ActionMenuView""}]}",open menu
32,71030,71030_1.jpg,"[7, 105, 133, 231]",look at menu|open menu|open the options menu,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnMenu""}, ""parent node"": [{""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""menuEditText"", ""class"": ""EditText""}, {""class"": ""LinearLayout""}, {""resource_id"": ""progressLayout"", ""class"": ""LinearLayout""}, {""resource_id"": ""btnQuickAction"", ""class"": ""ImageButton""}, {""resource_id"": ""btnRightMenu"", ""class"": ""ImageButton""}, {""resource_id"": ""titleWindmeter"", ""text"": ""WindAlert"", ""class"": ""TypefacedTextView""}]}",open menu
33,71030,71030_2.jpg,"[576, 105, 702, 231]",refresh|refresh|rotate image,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnRefres""}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSettings"", ""class"": ""ImageButton""}]}",refresh page
34,71030,71030_3.jpg,"[720, 105, 846, 231]",search|search a point,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnSearch"", ""OCR detected text"": [""0""]}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSettings"", ""class"": ""ImageButton""}]}",search
35,71030,71030_4.jpg,"[864, 105, 990, 231]",center|move satellite in,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnLocation""}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSettings"", ""class"": ""ImageButton""}]}",go to current location
36,71030,71030_5.jpg,"[1008, 105, 1134, 231]",add favorites|show status,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnStar""}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSettings"", ""class"": ""ImageButton""}]}",favorite location
37,71030,71030_6.jpg,"[1152, 105, 1278, 231]",open chat box|send message|use chat,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnReport""}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSettings"", ""class"": ""ImageButton""}]}",open chat
38,71030,71030_7.jpg,"[1296, 105, 1422, 231]",go to options|open settings,"{""app activity name"": ""com.windalert.android.activity.StartActivity"", ""UI element info"": {""class_name"": ""ImageButton"", ""resource_id"": ""btnSettings""}, ""parent node"": [{""resource_id"": ""progressLayout""}, {""class"": ""LinearLayout""}], ""sibling nodes"": [{""resource_id"": ""progressBar"", ""class"": ""ProgressBar""}, {""resource_id"": ""btnRefres"", ""class"": ""ImageButton""}, {""resource_id"": ""btnSearch"", ""class"": ""ImageButton""}, {""resource_id"": ""btnLocation"", ""class"": ""ImageButton""}, {""resource_id"": ""btnStar"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}, {""resource_id"": ""btnReport"", ""class"": ""ImageButton""}]}",go to settings
39,2710,2710_1.jpg,"[1265, 939, 1405, 1079]",call selected business|contact|to make call,"{""app activity name"": ""com.metrocket.iexitandroidbase.dataactivities.ExitActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""action_icon_image""}, ""parent node"": [{""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""action_top_label"", ""class"": ""AppCompatTextView""}, {""resource_id"": ""action_bottom_label"", ""class"": ""AppCompatTextView""}]}",call button
40,25619,25619_1.jpg,"[18, 307, 123, 412]",go to profile|open the account profile|profile,"{""app activity name"": ""com.avantar.yp.ui.main.MainActivity"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""main_tabbed_iv_user_account_photo""}, ""parent node"": [{""resource_id"": ""main_tabbed_rl_user_account""}, {""class"": ""RelativeLayout""}], ""sibling nodes"": [{""resource_id"": ""main_tabbed_tv_user_account_name"", ""text"": ""Sign In"", ""class"": ""AppCompatTextView""}]}",sign in
41,43341,43341_1.jpg,"[35, 122, 147, 234]",drop down menu|menu bar|show menu,"{""app activity name"": ""digiMobile.Corporate.PropertySelection"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""Widgets_TitleBar_ButtonLeft""}, ""parent node"": [{""resource_id"": ""Widgets_TitleBar_Container""}, {""class"": ""FrameLayout""}], ""sibling nodes"": [{""resource_id"": ""Widgets_TitleBar_ButtonCenter"", ""class"": ""ImageView""}, {""resource_id"": ""Widgets_TitleBar_TextCenter"", ""class"": ""TextView""}, {""resource_id"": ""Widgets_TitleBar_ButtonRight"", ""class"": ""ImageView""}, {""resource_id"": ""Widgets_TitleBar_BadgeContainer"", ""class"": ""FrameLayout""}]}",open menu
42,43341,43341_2.jpg,"[1293, 122, 1405, 234]",messages|open chat,"{""app activity name"": ""digiMobile.Corporate.PropertySelection"", ""UI element info"": {""class_name"": ""ImageView"", ""resource_id"": ""Widgets_TitleBar_ButtonRight""}, ""parent node"": [{""resource_id"": ""Widgets_TitleBar_Container""}, {""class"": ""FrameLayout""}], ""sibling nodes"": [{""resource_id"": ""Widgets_TitleBar_ButtonLeft"", ""class"": ""ImageView""}, {""resource_id"": ""Widgets_TitleBar_ButtonCenter"", ""class"": ""ImageView""}, {""resource_id"": ""Widgets_TitleBar_TextCenter"", ""class"": ""TextView""}, {""resource_id"": ""Widgets_TitleBar_TextCenter"", ""class"": ""TextView""}, {""resource_id"": ""Widgets_TitleBar_BadgeContainer"", ""class"": ""FrameLayout""}]}",open chat
